[2026-04-23 19:07:16] admin | PAGE_ACCESS | Accessed: 404.php
[2026-04-23 19:07:16] admin | PAGE_ACCESS | Accessed: dashboard.php
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | NOTIF_COUNT_ERROR | SQLSTATE[42S02]: Base table or view not found: 1146 Table 'clinic_management.notifications' doesn't exist
[2026-04-23 18:53:14] admin | PAGE_ACCESS | Accessed: 404.php
[2026-04-23 18:53:13] admin | PAGE_ACCESS | Accessed: appointments.php
[2026-04-23 18:53:10] admin | PAGE_ACCESS | Accessed: 404.php
[2026-04-23 18:53:10] admin | PAGE_ACCESS | Accessed: doctors.php
[2026-04-23 18:53:08] admin | PAGE_ACCESS | Accessed: 404.php
[2026-04-23 18:53:08] admin | PAGE_ACCESS | Accessed: patients.php
[2026-04-23 18:51:24] admin | PAGE_ACCESS | Accessed: 404.php
[2026-04-23 18:51:24] admin | PAGE_ACCESS | Accessed: dashboard.php
[2026-04-23 18:51:23] admin | USER_LOGIN | User logged in: admin
[2026-04-23 18:48:12] Guest | PAGE_ACCESS | Accessed: login.php
[2026-04-23 18:48:12] Guest | LOGIN_FAILED | Invalid password for user: admin | hash_type: bcrypt | password_verify: false
[2026-04-23 18:47:53] Guest | PAGE_ACCESS | Accessed: login.php
[2026-04-23 18:47:53] Guest | LOGIN_FAILED | Invalid password for user: admin | hash_type: bcrypt | password_verify: false
[2026-04-23 18:40:14] Guest | PAGE_ACCESS | Accessed: login.php
[2026-04-23 18:40:01] Guest | PAGE_ACCESS | Accessed: password_reset_request.php
[2026-04-23 18:39:30] Guest | PAGE_ACCESS | Accessed: login.php
[2026-04-23 18:39:30] Guest | LOGIN_FAILED | Invalid password for user: admin | hash_type: bcrypt | password_verify: false
[2026-04-23 18:39:01] Guest | PAGE_ACCESS | Accessed: login.php
[2026-04-23 18:38:58] Guest | PAGE_ACCESS | Accessed: login.php
[2026-04-23 18:38:58] Guest | LOGIN_FAILED | User not found: ziabul1
[2026-04-23 18:38:55] Guest | PAGE_ACCESS | Accessed: login.php
[2026-04-23 18:38:55] Guest | LOGIN_FAILED | User not found: ziabul1
[2026-04-23 18:38:46] Guest | PAGE_ACCESS | Accessed: login.php
